"id","name"
1,"Skala Entertainment"
2,"Flicksync"
3,"SN Mobile Technology"
4,"Chestnut Team"
5,"SQYD.studio"
6,"Susewind Games"
7,"Husky-Leaf Studios"
8,"AlgoX Interactive Ltd."
9,"Contortionist Games"
10,"Procrastination Games"
11,"Hoffnung Haydn"
12,"Skelecrew Games"
13,"Spoon"
14,"Block By Block Publishing, LLC"
15,"Insanity Studios LLC"
16,"Lazurite Games"
17,"Jon Kuntz"
18,"Simon Fredholm"
19,"一尾66"
20,"Timeless Games"
21,"Aellyn Studios"
22,"Skyward Digital"
23,"91Act"
24,"NOG Studio"
25,"Warumiyo"
26,"CHARON"
27,"Glimmer Collection"
28,"Yorakeys"
29," Cockroach Studio"
30,"My Next Games"
31,"AA Games"
32,"Jordan Hurley"
33,"ZoOgame"
34,"白日梦"
35,"YoHokki"
36,"Dhia Sendi"
37,"VR Junkies"
38,"AmadeoxH"
39,"Omniconnection"
40,"Stereo7 Games"
41,"TitanStrike Games"
42,"Saluie Studios LLC"
43,"Hestios"
44,"TOYBOX Inc."
45,"Daniel James"
46,"Dragon3DInteractive"
47,"후다닭 치킨집"
48,"SMB CLUB"
49,"Joshua Krauchi"
50,"NoSense Games"
51,"CFG Studios"
52,"TTK"
53,"Andres Garcia"
54,"WhisperGames"
55,"Alice Nowak"
56,"Jumbo Mana"
57,"Miniced"
58,"Playable Pictures"
59,"Hamster Game Studio"
60,"左宗棠"
61,"BlackChiliGoat Studio"
62,"Nerlaska Studios"
63,"OnlyStuff"
64,"Pentamorph"
65,"unbeGames"
66,"YFL STUDIO"
67,"May May Interactive"
68,"Poppy Payne"
69,"Dockside Games"
70,"Play.io"
71,"Hayden Fisher"
72,"Savepoint Studio"
73,"Sigma Games"
74,"TechLemon Ltd"
75,"Jamie D/Uk_Resistant"
76,"SmallSqurriel"
77,"Corvus Studio Yazilim Anonim Sirketi"
78,"daiCreative"
79,"Feelcraft Games"
80,"souvenir circ."
81,"Maxim Soloha"
82,"旧媒介 Old Media Art"
83,"BMUTED"
84,"Dymchick1"
85,"azeemba"
86,"Orbifold Software"
87,"Greeb"
88,"Matthew Prater"
89,"MS Games and Software UG"
90,"Azmio"
91,"Jagonz"
92,"Scary Beasties"
93,"Zachary Losier"
94,"Lowraiz Games"
95,"Arm and Leg Studios"
96,"ImagiT Games"
97,"Hilda"
98,"JianBingGaming"
99,"jhoshitarou"
100,"Prisym Games"
101,"VR Triber"
102,"Dank Mememachine"
103,"BlackMark Studio"
104,"Hugo Felipe"
105,"Gato de Franja"
106,"Ambiera"
107,"Milneh"
108,"Ironworks Games"
109,"[Ad Space Reserved]"
110,"Rascal Devworks"
111,"Sergio Matsumoto"
112,"WeSoloAZ"
113,"Yesbox Studios"
114,"divisivesoftware"
115,"Demetri Lind"
116,"Zane Games"
117,"Grizzbera Studio"
118,"Ondresh"
119,"Joel D."
120,"Last Token"
121,"games.Sharbit"
122,"Sharkbomb Studios"
123,"Cyphen Productions"
124,"Arthur Leplae"
125,"An Lieu"
126,"Medieval Snail"
